team,season,cap_hit_total,cap_hit_active,cap_hit_inactive,cap_hit_active_inactive_total_pct,position_level_two,position_level_two_cap_hit,position_level_two_cap_hit_pct,position_level_two_cap_hit_active,position_level_two_cap_hit_pct_of_active_cap,position_level_two_cap_hit_active_pct_of_total_cap,position_level_two_cap_hit_inactive,position_level_two_cap_hit_pct_of_inactive_cap,position_level_two_cap_hit_inactive_pct_of_total_cap,w,l,pct,pf,pa,net_pts,div_win_pct,conf_win_pct
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,defensive_line,26386110.0,15.259577393589572,22548633.0,20.89359899828439,13.04029318391941,3837477.0,5.90437141200546,2.219284209670161,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,linebacker,16942982.0,9.798441115692878,13513467.0,12.521599893640964,7.815088906330592,3429515.0,5.276677963944515,1.9833522093622873,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,offensive_line,23586188.0,13.640330507443258,2602729.0,2.4116928075952866,1.5052065124430996,20983459.0,32.2853102297652,12.135123995000157,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,quarterback,23024429.0,13.31545484608031,5199592.0,4.817950170313541,3.007020608156685,17824837.0,27.42543030393594,10.308434237923624,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,running_back,6925117.0,4.004923758036438,6795917.0,6.297107439888877,3.930204998838823,129200.0,0.19878810646450923,0.07471875919761467,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,secondary,37617077.0,21.754654164714623,25049762.0,23.21114908520008,14.486742529686985,12567315.0,19.3361668126395,7.267911635027638,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,special_team,7217920.0,4.174257170183026,3674485.0,3.404783612168907,2.125022909367238,3543435.0,5.451956145743562,2.0492342608157874,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,tight_end,8696188.0,5.029167005489059,8270516.0,7.663473205355508,4.782992983312844,425672.0,0.6549421892798805,0.24617402217621542,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2018,172915077.0,107921249.0,64993828.0,62.41286235554809,wide_receiver,22519066.0,13.023194038770836,20266148.0,18.778644787552448,11.720289723492417,2252918.0,3.466356836221433,1.3029043152784185,3,13,0.188,225,425,-200,0.333,0.25
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,defensive_line,15555496.0,8.100980061303742,6306436.0,5.328709151489451,3.284261221492913,9249060.0,12.55443750132344,4.816718839810829,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,linebacker,35303057.0,18.385100729675834,27840082.0,23.523857172516575,14.498537956427823,7462975.0,10.130051401054734,3.8865627732480075,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,offensive_line,39785590.0,20.719511053662675,27070307.0,22.87342528244621,14.097655083474747,12715283.0,17.25939995363209,6.621855970187927,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,quarterback,24577708.0,12.799561162212086,8296599.0,7.010324534735345,4.320696882673015,16281109.0,22.099560970815908,8.47886427953907,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,running_back,12434801.0,6.475786755194424,11411398.0,9.642216452190812,5.9428196741268415,1023403.0,1.3891410588932185,0.5329670810675811,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,secondary,30679239.0,15.977112104620266,14249063.0,12.039940214766268,7.420616819628309,16430176.0,22.30190070426015,8.556495284991957,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,special_team,3751985.0,1.9539560599874617,3693750.0,3.121084464872736,1.9236284784130764,58235.0,0.07904669965267504,0.030327581574385244,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,tight_end,9654902.0,5.028072945783382,3157867.0,2.6682828117317827,1.6445517136354293,6497035.0,8.818909148757921,3.3835212321479533,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2019,192019927.0,118348287.0,73671640.0,61.63333610683021,wide_receiver,20277149.0,10.559919127560132,16322785.0,13.792159915250824,8.500568276958047,3954364.0,5.367552561609868,2.0593508506020837,5,10,0.344,361,442,-81,0.167,0.292
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,defensive_line,14824996.0,7.635336635902733,2925535.0,2.1694921996249774,1.5067420298201566,11899461.0,20.06176504862383,6.128594606082576,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,linebacker,54058073.0,27.841598422232583,28225989.0,20.931577630143003,14.537267186870576,25832084.0,43.5513171499377,13.304331235362007,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,offensive_line,29390530.0,15.137042226358668,29038396.0,21.53403518044431,14.955682202319068,352134.0,0.593676434052946,0.18136002403959994,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,quarterback,9582768.0,4.935425249609264,9578101.0,7.102842866935516,4.93302159863494,4667.0,0.007868277183473051,0.0024036509743245835,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,running_back,17280111.0,8.899797651936352,10608825.0,7.867197994447664,5.463876697597814,6671286.0,11.247381062400514,3.4359209543385374,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,secondary,32488951.0,16.732825953703376,23442057.0,17.383951928335875,12.073392575149438,9046894.0,15.252511172380382,4.6594333785539375,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,special_team,6868009.0,3.537239452436256,3292279.0,2.441458950068661,1.6956266608310189,3575730.0,6.028462561229932,1.8416127916052374,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,tight_end,6071650.0,3.1270896589367596,4940808.0,3.6639604092395697,2.5446706584852574,1130842.0,1.9065305992528456,0.5824190004515022,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2020,194162965.0,134848837.0,59314128.0,69.45136885399334,wide_receiver,23597877.0,12.15364474888401,22796847.0,16.905482840760428,11.741089244285078,801030.0,1.3504876949383797,0.41255550459893314,8,8,0.5,410,367,43,0.333,0.5
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,defensive_line,18505869.0,9.682466885673906,17164637.0,11.14758802301194,8.980720081673175,1341232.0,3.6101804444216663,0.7017468040007299,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,linebacker,54940313.0,28.745354314950543,49213674.0,31.96186222002913,25.74911606838624,5726639.0,15.414335573608778,2.996238246564305,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,offensive_line,39708070.0,20.775683263997028,35288894.0,22.918402066978633,18.46352352256771,4419176.0,11.895050800799238,2.3121597414293196,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,quarterback,11558438.0,6.047497320180691,11081775.0,7.1970681502739104,5.798102184338868,476663.0,1.2830289175767986,0.249395135841823,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,running_back,4677034.0,2.44707378119725,4368770.0,2.83730137300858,2.2857867877550406,308264.0,0.8297510531505367,0.1612869934422091,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,secondary,22104373.0,11.565242334801157,15174209.0,9.854902874268765,7.9393070467966105,6930164.0,18.65385149581507,3.625935288004547,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,special_team,4683230.0,2.45031559409583,4307009.0,2.7971906393012933,2.2534727776793124,376221.0,1.012670214385553,0.1968428164165175,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,tight_end,11696210.0,6.119581091430399,7540833.0,4.897400372308089,3.945443783963726,4155377.0,11.18498573296758,2.1741373074666734,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2021,191127625.0,153976241.0,37151384.0,80.56200196073173,wide_receiver,23254088.0,12.166785413673194,9836440.0,6.388284280819663,5.146529707571053,13417648.0,36.11614576727478,7.020255706102139,11,6,0.647,449,366,83,0.667,0.583
arizona-cardinals,2022,204825664.0,98153785.0,106671879.0,47.92064777585684,defensive_line,28144999.0,13.74095337974835,20959941.0,21.354185169731355,10.23306386059122,7185058.0,6.7356627326307805,3.5078895191571307,4,13,0.235,340,449,-109,0.167,0.25
arizona-cardinals,2022,204825664.0,98153785.0,106671879.0,47.92064777585684,linebacker,29669732.0,14.485358631621475,21795070.0,22.20502245532355,10.640790599365516,7874662.0,7.38213489236465,3.844568032255958,4,13,0.235,340,449,-109,0.167,0.25
arizona-cardinals,2022,204825664.0,98153785.0,106671879.0,47.92064777585684,offensive_line,46339124.0,22.623690359426835,10007403.0,10.195636367970936,4.885814992402515,36331721.0,34.059324107340416,17.73787536702432,4,13,0.235,340,449,-109,0.167,0.25
